,CLASS,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
,CDX,0.0031,-0.037,-0.0126,-0.0172,-0.0156,0.0493,-0.0014,-0.0043,-0.0033,-0.0003
,CDX,0.0031,-0.0368,-0.0126,-0.0173,-0.0177,0.0447,-0.0036,0.0014,-0.0005,0.0032
,CDX,0.0027,-0.0369,-0.0111,-0.0158,-0.0179,0.0541,0.0011,-0.0019,-0.0013,-0.0025
,CDX,0.0029,-0.0371,-0.0123,-0.0166,-0.0168,0.0559,0.0001,0.0013,0.0014,0.0036
,CDX,0.0029,-0.0368,-0.0117,-0.0176,-0.0156,0.0473,0.0002,-0.002,-0.0003,-0.0071
,CDX,0.003,-0.0365,-0.0113,-0.0163,-0.0152,0.0431,-0.0011,-0.0044,-0.0067,-0.0096
,CDX,0.0029,-0.0364,-0.0109,-0.017,-0.0115,0.0496,0.0001,-0.0048,-0.0088,0.001
,CDX,0.0028,-0.037,-0.0116,-0.0169,-0.0182,0.0509,-0.0011,-0.0008,0.0009,0.0025
,CDX,0.003,-0.0368,-0.0114,-0.0176,-0.0135,0.047,0.0013,-0.0045,-0.0077,0.0018
,CDX,0.0029,-0.0373,-0.0121,-0.018,-0.0178,0.0537,-0.0008,-0.0003,-0.0068,-0.0041
,CDX,0.0029,-0.0368,-0.0113,-0.0168,-0.0161,0.0436,-0.0016,0.0011,-0.0029,0.0008
,CDX,0.0024,-0.0369,-0.0112,-0.0162,-0.0167,0.0526,-0.0024,-0.0003,-0.0072,-0.0056
,CDX,0.003,-0.0367,-0.0118,-0.017,-0.016,0.0493,0.0011,-0.0042,-0.0017,-0.0012
,CDX,0.0031,-0.0372,-0.0125,-0.0184,-0.0204,0.0518,-0.0009,-0.0037,-0.0059,-0.0104
,CDX,0.0027,-0.0371,-0.0116,-0.0169,-0.0171,0.0487,0.0008,0.0018,-0.0038,0.0015
,CDX,0.0033,-0.0367,-0.0116,-0.0173,-0.0159,0.0455,-0.0022,-0.0012,-0.0026,0.0056
,CDX,0.0029,-0.0372,-0.0112,-0.0177,-0.0166,0.0548,-0.0038,-0.0012,-0.0004,-0.0112
,CDX,0.003,-0.0366,-0.011,-0.0159,-0.0165,0.0522,-0.001,-0.0003,-0.0055,0.0026
,CDX,0.0029,-0.0373,-0.0133,-0.0171,-0.0168,0.0517,-0.0015,-0.0016,-0.0081,-0.0025
,CDX,0.0029,-0.0369,-0.012,-0.0181,-0.0175,0.0467,-0.0025,-0.0008,-0.01,-0.0096
,CDX,0.0029,-0.037,-0.0098,-0.0158,-0.0182,0.0523,-0.0009,0.0003,0.0004,-0.0067
,CDX,0.003,-0.0371,-0.012,-0.0184,-0.0133,0.0508,-0.0014,-0.0016,-0.0061,-0.0018
,CDX,0.0025,-0.037,-0.013,-0.0175,-0.0192,0.0515,-0.0042,0.0004,0.0003,-0.0029
,CDX,0.0032,-0.0364,-0.0109,-0.0158,-0.0138,0.0409,0.0026,-0.0034,-0.0071,-0.002
,CDX,0.0031,-0.0377,-0.0107,-0.017,-0.0196,0.0477,-0.0041,-0.0054,-0.0024,-0.0111
,CDX,0.003,-0.0367,-0.011,-0.0172,-0.0165,0.0509,0.0004,-0.0028,-0.0014,0.002
,CDX,0.0032,-0.0371,-0.0123,-0.0168,-0.0159,0.0512,0.0016,0.0015,0.004,0.0025
,CDX,0.0032,-0.0376,-0.0117,-0.017,-0.0145,0.0481,-0.0011,-0.0009,-0.0069,-0.0031
,CDX,0.0028,-0.0361,-0.0113,-0.0166,-0.0206,0.0477,-0.0007,-0.0036,-0.0085,0.0009
,CDX,0.003,-0.0368,-0.0117,-0.0164,-0.0182,0.0487,-0.0044,-0.0021,0.0002,0.0039
,CDX,0.0032,-0.0374,-0.0116,-0.0172,-0.0158,0.0497,-0.0006,0.0001,-0.0014,0.0043
,CDX,0.0032,-0.0367,-0.0109,-0.0172,-0.0175,0.043,-0.0027,0.0036,-0.005,0.0031
,CDX,0.0033,-0.0368,-0.0109,-0.0163,-0.0168,0.0468,-0.0033,0.0043,-0.0039,0.0056
,CDX,0.0028,-0.037,-0.0111,-0.0175,-0.02,0.0493,-0.0039,-0.0027,-0.0043,-0.0022
,CDX,0.0028,-0.0368,-0.012,-0.0157,-0.018,0.0453,-0.0029,0.0032,-0.0017,-0.0029
,CDX,0.0029,-0.0368,-0.0124,-0.0176,-0.0158,0.0525,-0.0007,-0.0044,-0.0017,0.0054
,CDX,0.0033,-0.037,-0.0128,-0.0191,-0.0154,0.0462,-0.0005,0.0032,-0.001,-0.0002
,CDX,0.0027,-0.0371,-0.0111,-0.0171,-0.0155,0.0497,0.0002,-0.0044,-0.0063,-0.0065
,CDX,0.0031,-0.0368,-0.0115,-0.0165,-0.0192,0.0571,-0.0002,-0.0037,-0.0026,0.0055
,CDX,0.0034,-0.0367,-0.0119,-0.0173,-0.0143,0.0512,-0.0025,-0.0036,-0.0026,0.0001
,CDX,0.0031,-0.0368,-0.0123,-0.0166,-0.0144,0.049,-0.0014,0.0006,-0.0037,0.0031
,CLM,0.0086,0.0094,-0.0048,0.0032,-0.0166,-0.007,0.0017,-0.0087,-0.0337,-0.0259
,CLM,0.0079,0.0007,-0.0091,0.0262,-0.0181,-0.0054,0.0002,-0.016,-0.0195,0.0139
,CLM,0.0081,0.0074,-0.006,0.0094,-0.0197,-0.0097,0.0009,-0.0009,-0.0306,-0.0209
,CLM,0.0062,0,-0.0091,0.0279,-0.0144,-0.0052,0.003,-0.0074,-0.0194,0.0024
,CLM,0.0057,0.0036,-0.0077,0.0219,-0.0156,-0.0063,0.0012,-0.0069,-0.0307,-0.0256
,CLM,0.0018,-0.0003,-0.0083,0.0269,-0.0084,-0.0007,-0.0009,-0.0115,-0.0181,0.0072
,CLM,0.004,0.0015,-0.0072,0.0224,-0.0153,-0.0011,-0.0011,-0.0102,-0.0237,-0.0018
,CLM,0.0057,0.0024,-0.0075,0.0229,-0.0153,-0.008,0.0024,-0.0065,-0.0243,-0.0086
,CLM,0.0056,0.0024,-0.0089,0.0228,-0.0162,-0.0097,-0.0015,-0.0095,-0.0335,-0.0119
,CLM,0.0081,0.0059,-0.0081,0.0121,-0.0186,-0.0036,0.0015,-0.0041,-0.022,0.0033
,CLM,0.0033,0.0025,-0.0077,0.02,-0.0121,-0.0001,-0.0031,-0.009,-0.0089,0.0083
,CLM,0.0041,0.001,-0.0102,0.0251,-0.0164,-0.0034,-0.0068,-0.0095,-0.033,-0.0154
,CLM,0.007,-0.0008,-0.0095,0.0324,-0.0176,-0.0021,0.0014,-0.0059,-0.0392,-0.0299
,CLM,0.0003,0.0001,-0.0096,0.0274,-0.0069,-0.0025,-0.0006,-0.0024,-0.003,0.0054
,CLM,0.0065,0.0015,-0.0071,0.0251,-0.0168,-0.004,-0.0054,-0.0111,-0.0092,0.0234
,CLM,-0.0007,-0.0026,-0.0092,0.0338,-0.0137,0.0017,-0.0055,-0.0037,-0.0151,-0.0149
,CLM,0.0057,0.0026,-0.0083,0.0234,-0.0125,-0.0019,-0.0012,-0.008,-0.0194,0.002
,CLM,0.0029,-0.0055,-0.0108,0.0428,-0.0112,0.0006,-0.0011,-0.0069,-0.0243,-0.0116
,CLM,0.0045,-0.0006,-0.0088,0.0298,-0.0118,-0.0062,-0.0054,-0.0101,-0.0069,0.0221
,CLM,0.0076,0.0018,-0.009,0.0245,-0.0134,-0.0059,-0.0007,-0.0142,-0.0215,-0.0122
,CLM,0.0068,0.0027,-0.0083,0.0205,-0.0126,-0.0073,-0.0037,-0.006,-0.027,-0.0043
,CLM,0.0005,-0.0003,-0.0091,0.0266,-0.0127,-0.0034,-0.0039,-0.0104,-0.0213,-0.0069
,CLM,0.0086,0.0056,-0.0088,0.0132,-0.0194,-0.0054,0.001,-0.0132,-0.0366,-0.0312
,CLM,0.0079,0.0014,-0.008,0.0269,-0.0103,-0.0027,-0.0043,-0.0086,-0.0172,-0.0127
,CLM,0.0079,0.0069,-0.0065,0.0083,-0.0162,-0.0062,-0.0005,-0.0127,-0.0226,0.0011
,CLM,0.0024,-0.0006,-0.0092,0.0294,-0.0157,-0.0104,0.0003,-0.0098,-0.0171,-0.0018
,CLM,0.0054,0.0019,-0.0093,0.0238,-0.0167,-0.0028,-0.0032,-0.0111,-0.0281,-0.0224
,CLM,0.005,0.0017,-0.0092,0.0239,-0.0144,-0.0013,-0.0027,-0.0082,-0.0087,0.0067
,CLM,-0.0001,-0.0012,-0.0082,0.0287,-0.0098,-0.0036,0.0033,-0.0074,-0.0279,-0.0278
,CLM,0.0089,0.0099,-0.0066,0.0011,-0.0161,-0.0087,0.0025,-0.0111,-0.0253,-0.001
,CLM,0.0074,-0.0016,-0.0104,0.0335,-0.015,-0.0026,-0.0033,-0.0187,-0.0214,0.0119
,CLM,0.0074,0.0019,-0.0109,0.0252,-0.0185,-0.0045,0.0004,-0.0114,-0.015,-0.0046
,CLM,0.0073,0.0018,-0.0088,0.0221,-0.02,-0.0029,-0.0043,-0.0124,-0.009,0.0256
,CLM,0.0056,0.0026,-0.0082,0.0205,-0.0198,-0.0027,-0.0026,-0.0045,-0.011,-0.0013
,CLM,0.0071,-0.0097,-0.0131,0.0572,-0.0058,-0.001,-0.0011,-0.0067,-0.0148,0.0164
,CLM,-0.0078,0.0012,-0.0074,0.021,-0.0071,-0.0004,0.0017,-0.0027,-0.0157,-0.0142
,CLM,0.0064,-0.0028,-0.0113,0.0383,-0.0087,-0.0025,-0.0042,-0.0066,-0.0054,0.0138
,CLM,0.0062,0.0032,-0.0073,0.0177,-0.0136,-0.0033,-0.0022,-0.0104,-0.0141,0.0124
,CLM,0.0059,-0.003,-0.0104,0.0383,-0.0121,-0.0056,0.0006,-0.0105,-0.0195,0.0217
,CLM,0.0047,-0.0033,-0.0096,0.038,-0.0096,-0.0057,-0.0026,-0.005,-0.0206,0.0179
,CLM,0.0079,0.0011,-0.0095,0.0263,-0.012,-0.005,0.0002,-0.0114,-0.0291,-0.0217
,CLM,0.0076,0.0043,-0.0072,0.0165,-0.0186,-0.0065,0.0013,-0.0142,-0.0279,-0.0111
,CLM,0.0082,0.0057,-0.0076,0.0131,-0.0226,-0.0012,-0.0032,-0.0143,-0.0229,0.0218
,CLM,0.0057,0.0003,-0.0088,0.0311,-0.0175,-0.0004,0,-0.0097,-0.0199,-0.006
,CLM,0.0078,0.0009,-0.0114,0.0253,-0.0084,-0.0026,-0.0007,-0.01,-0.0292,-0.0064
,CLM,0.0065,0.0019,-0.0076,0.0216,-0.0151,-0.0053,-0.0024,-0.0137,-0.0155,-0.0088
,CLM,0.0057,0.0025,-0.007,0.0207,-0.0169,-0.005,-0.0023,-0.0092,-0.0272,-0.0012
,CLM,0.0032,0.0019,-0.0091,0.0201,-0.0165,-0.0104,0.0026,-0.0085,-0.0163,-0.0004
,CLM,0.0005,-0.0014,-0.0094,0.0279,-0.0097,-0.001,0.0001,-0.0029,-0.0242,-0.0084
,CLM,0.0021,0.0008,-0.0074,0.0258,-0.0088,-0.0011,0.0017,-0.0012,-0.0115,0.0004
,CLM,0.0035,0.0011,-0.0111,0.0232,-0.0136,-0.0044,-0.0045,-0.0055,-0.0154,-0.0058
,CLM,0.0013,-0.0073,-0.0124,0.0506,-0.0114,0.0004,0.002,-0.0113,-0.0047,0.0124
,CLM,0.0065,0,-0.0103,0.0306,-0.0161,-0.0003,0.0003,-0.0035,-0.0226,-0.0121
,CLM,0.0081,0.0025,-0.0092,0.0246,-0.0187,-0.0096,-0.0034,-0.0189,-0.0314,0.0058
,CLM,0.0018,0,-0.0102,0.0282,-0.0116,-0.0036,0.001,-0.0034,-0.0146,-0.0233
,CLM,0.0039,0.0002,-0.0077,0.0285,-0.0104,-0.0024,-0.0034,-0.0148,-0.0216,0.0006
